Date,Close/Last,Volume,Open,High,Low,Day
45026,911.78,1375,927.25,927.25,880.0501,470
45022,908,1066,910.75,923,900.19,471
45021,922.425,531,932,932,916.872,472
45020,933.08,1022,921.6,934,921,473
45019,921.508,803,920,925,910.15,474
45016,918.5,5572,909.99,923.43,908.7,475
45015,903.15,1443,892.17,904.4,892.17,476
45014,895,1896,895,899.99,890,477
45013,880.82,448,879.95,888.63,876.55,478
45012,890,656,876.55,890,863,479
45009,882,647,878.91,885,866.848,480
45008,876.88,1869,897,897,875.5,481
45007,877,606,876,890,875.25,482
45006,868.6,1249,869.91,873,862,483
45005,864,1506,863.7,868,860,484
45002,847.66,573,844.9,852.278,833.29,485
45001,854.9975,2109,833.14,860,830.27,486
45000,834.35,8656,820.5,836.31,807.97,487
44999,858,3358,851.088,862.77,848.8401,488
44998,841.37,895,840,845.49,827.58,489
44995,845.5,1810,840,859.99,840,490
44994,840,1815,848.48,856,840,491
44993,855.33,987,853.35,863.45,850,492
44992,860.335,363,875,880.68,860,493
44991,882.35,3703,885.75,891.8121,873.48,494
44988,871.4,1129,869.2,873.81,858.99,495
44987,856.784,235,849.99,857.49,846.578,496
44986,847.625,958,853,860.92,840.464,497
44985,835,664,845,846.5,834,498
44984,847,1461,841,850,841,499
44981,826.44,1011,839.1,839.1,821.5,500
44980,860.41,516,866,871,852,501
44979,866.03,494,868,870,856,502
44978,865,598,865.35,871,856.05,503
44974,884.24,703,880,884.24,870,504
44973,880.22,562,866,890,866,505
44972,879.84,3590,879.4499,884.78,874.0434,506
44971,877,978,871.0863,879,859.8301,507
44970,871.2,320,862.16,875,857,508
44967,861.798,1743,870,875.8,848,509
44966,867.125,521,865.96,875.232,865.96,510
44965,856.99,697,865.13,865.13,855.38,511
44964,871.75,1046,860.03,873.36,855.5,512
44963,874.86,1846,878.13,878.13,866.0599,513
44960,896.496,2164,887.82,903.11,882,514
44959,882.725,5456,887.64,889.1,875.25,515
44958,885,5346,869.14,885.25,864.85,516
44957,873.382,2558,876.0699,876.0699,859,517
44956,868.752,2086,872.61,872.61,856.88,518
44953,874.5,2231,863.31,879.99,863.31,519
44952,847,1014,876.52,878,847,520
44951,870,1480,865.9,870,856.6,521
44950,866.65,1064,855.3001,868.65,852.97,522
44949,861.7925,22112,860.28,864,843.0001,523
44946,848.188,2313,843.57,850,840.86,524
44945,844.604,4160,849.05,849.25,837,525
44944,860.41,2951,873.41,874.96,860.41,526
44943,858,1943,866.59,871.57,856.25,527
44939,855,2039,845.41,857.99,837.205,528
44938,840.6,2215,845,847.85,832,529
44937,833.295,1654,830.04,835,829,530
44936,812.258,2316,805.6,818,805.6,531
44935,805.25,1567,809,818,805,532
44932,797,1025,773.4,799.05,773.4,533
44931,768.075,962,771.1699,771.1699,765,534
44930,779.82,1091,780.5,785,768.0001,535
44929,745.78,3015,740,751.954,737.13,536
44925,731.68,521,743,743,721.9501,537
44924,739.684,504,731.75,748.076,731.75,538
44923,731.75,694,717.1,745,717.1,539
44922,726.274,363,710,737.89,710,540
44918,716.18,522,718.9,719.04,710.25,541
44917,718.331,274,719.36,735.78,717.84,542
44916,731.548,2999,715.7,733.792,715.7,543
44915,723.96,497,713.4401,742.65,713.4401,544
44914,726.5,803,724.15,737,721.2,545
44911,732.4,404,737.45,739.22,729.2001,546
44910,746,1000,745.689,754.5,742.816,547
44909,770,936,771.985,781,769.0001,548
44908,768,1026,783.14,786.51,764.1,549
44907,752.502,849,757.81,762,750.55,550
44904,753.056,2777,762.1,762.41,752.66,551
44903,763.512,1789,750,764.89,748.28,552
44902,746,1286,749.65,767.92,741.66,553
44901,741.66,2663,749.04,755.472,740.08,554
44900,746,590,753.37,756.65,745.2,555
44897,759.25,417,747.08,759.25,745,556
44896,752.4,424,754,765.3799,749.67,557
44895,758.49,1822,754.9,769.98,746.47,558
44894,730.92,464,731,731,723,559
44893,720.892,598,730.2,731,717.5,560
44890,727.1,188,730,731,716,561
44888,720,322,717.4001,733.92,717.4001,562
44887,715.2,1096,716.05,718.5,709.24,563
44886,716.04,848,719.24,720.2,714.698,564
44883,724.65,2229,723,726.07,705.6,565
44882,722.22,439,704.95,728.66,704.0001,566
44881,721.48,659,727,727,711.744,567
44880,738.92,533,740.9999,740.9999,708.77,568
44879,723,431,727.25,728.67,716.31,569
44876,735.25,1384,703,738.56,703,570
44875,700,1046,671.8,700,671.8,571
44874,655.89,448,659,669.96,650,572
44873,659.6,1050,656,670,655,573
44872,654.384,1272,656.036,665.86,645,574
44869,652.1101,968,651.125,667,642.33,575
44868,610,1162,605.9,619,605.9,576
44867,621.99,663,624.36,643.05,621.99,577
44866,640,485,656.5599,656.5599,635.8,578
44865,656.5,1128,643.27,657.75,630,579
44862,652.37,1723,652.59,652.8699,642.15,580
44861,651.5,1406,652.47,664.18,649,581
44860,667,901,654.68,671,640,582
44859,656.11,709,633.1,660,633.1,583
44858,629.928,1373,650,650,620,584
44855,631.79,930,619.25,636.86,613.312,585
44854,612.08,280,611.25,629.04,611.25,586
44853,610.8,791,621.9,635.27,605,587
44852,626.528,1441,627.867,638.6,615,588
44851,628,1785,620.03,630,612.46,589
44848,608,495,619.4,623.765,604.036,590
44847,602.2,1502,576.35,617,576.35,591
44846,603.44,3065,606.11,607.78,600.59,592
44845,593,1399,587.66,610.7,584,593
44844,594.69,687,596,602.5599,588.956,594
44841,612.912,462,610.5,625.19,595,595
44840,622,553,629,632.25,613.9501,596
44839,634.905,1013,627.13,637.36,616.186,597
44838,643.562,2023,634.8999,645.5799,621.14,598
44837,597.075,1720,587.55,603.12,587.25,599
44834,589.11,706,585,600,582.52,600
44833,597.694,837,589,597.8,583.02,601
44832,601,7246,576.82,601.85,576.82,602
44831,575.878,955,580.18,593.0299,573,603
44830,581.306,1971,588.89,595.53,580.02,604
44827,585.43,9182,600,600.88,582.01,605
44826,617.132,11492,625.71,642.75,611.61,606
44825,628.694,535,624.4,648.65,622,607
44824,633.86,258,615.7501,645,615.7501,608
44823,645.906,2548,626.3,650.04,626.3,609
44820,641.04,999,640,655.572,631,610
44819,643.312,396,643.55,653.28,636.96,611
44818,659.3999,552,645.4501,660.95,645.45,612
44817,643.974,412,665.15,665.15,642.08,613
44816,666.15,610,657.57,670.74,657.57,614
44813,658.67,1030,660.0599,660.0599,641.36,615
44812,640.696,422,635.38,644.24,627.4303,616
44811,643.58,508,627.25,647.39,627.25,617
44810,626.862,780,630.55,646.5,621.2006,618
44806,625.15,26482,660.2499,660.2499,622.042,619
44805,635.166,607,648.95,648.95,617.8301,620
